id,PetName,Breed,Age,Description
1,Cook's tree boa,Corallus hortulanus cooki,25,Female
2,"Seal, common",Phoca vitulina,22,Male
3,"Heron, green-backed",Butorides striatus,16,Male
4,"Boa, mexican",Boa constrictor mexicana,3,Agender
5,"Sandgrouse, yellow-throated",Pterocles gutturalis,19,Female
6,"Coatimundi, ring-tailed",Nasua nasua,28,Bigender
7,"Ox, musk",Ovibos moschatus,22,Polygender
8,"Zorro, common",Dusicyon thous,20,Male
9,Carmine bee-eater,Merops nubicus,17,Female
10,"Crane, stanley",Anthropoides paradisea,12,Female
11,"Squirrel, red",Tamiasciurus hudsonicus,17,Male
12,"Skunk, western spotted",Spilogale gracilis,27,Agender
13,"Shrike, crimson-breasted",Laniaurius atrococcineus,6,Female
14,Dusky rattlesnake,Crotalus triseriatus,14,Female
15,Grizzly bear,Ursus arctos,21,Male
16,Praying mantis (unidentified),unavailable,29,Male
17,Giant anteater,Myrmecophaga tridactyla,11,Male
18,Pale-throated three-toed sloth,Bradypus tridactylus,22,Male
19,Long-crested hawk eagle,Lophoaetus occipitalis,30,Female
20,"Monitor, water",Varanus salvator,4,Female
21,Cottonmouth,Agkistrodon piscivorus,28,Male
22,"Colobus, black and white",Colobus guerza,2,Male
23,"Capuchin, black-capped",Cebus apella,29,Male
24,Giant girdled lizard,Cordylus giganteus,27,Female
25,Caribou,Rangifer tarandus,30,Male
26,Land iguana,Conolophus subcristatus,21,Male
27,"Caiman, spectacled",Caiman crocodilus,22,Female
28,"Penguin, magellanic",Spheniscus magellanicus,11,Agender
29,White-winged black tern,Chlidonias leucopterus,4,Agender
30,Racer snake,Coluber constrictor,20,Female
31,Blackish oystercatcher,Haematopus ater,25,Female
32,Brazilian tapir,Tapirus terrestris,1,Male
33,"Lemming, arctic",Dicrostonyx groenlandicus,19,Male
34,Warthog,Phacochoerus aethiopus,29,Male
35,Southern white-crowned shrike,Eurocephalus anguitimens,28,Female
36,"Owl, great horned",Bubo virginianus,5,Female
37,"Raccoon, common",Procyon lotor,18,Male
38,"Stork, european",Ciconia ciconia,3,Male
39,"Woodpecker, red-headed",Melanerpes erythrocephalus,10,Female
40,Yellow-headed caracara,Milvago chimachima,29,Male
41,"Monitor, white-throated",Varanus albigularis,5,Female
42,"Snake, buttermilk",Coluber constrictor,25,Female
43,Indian peacock,Pavo cristatus,18,Male
44,Bare-faced go away bird,Lorythaixoides concolor,18,Female
45,"Openbill, asian",Anastomus oscitans,26,Male
46,Nubian bee-eater,Merops nubicus,25,Female
47,Common eland,Taurotagus oryx,5,Female
48,Brown and yellow marshbird,Pseudoleistes virescens,8,Male
49,"Wombat, common",Vombatus ursinus,15,Genderfluid
50,"Openbill, asian",Anastomus oscitans,22,Female
51,Four-horned antelope,Tetracerus quadricornis,30,Male
52,"Snake, buttermilk",Coluber constrictor,2,Male
53,Miner's cat,Bassariscus astutus,28,Female
54,Secretary bird,Sagittarius serpentarius,7,Male
55,Common raccoon,Procyon lotor,14,Female
56,Asiatic jackal,Canis aureus,15,Female
57,"Wallaby, bennett's",Macropus rufogriseus,6,Female
58,Emerald green tree boa,Boa caninus,4,Male
59,Springbuck,Antidorcas marsupialis,2,Female
60,Black-collared barbet,Lybius torquatus,4,Male
61,European spoonbill,Platalea leucordia,12,Male
62,Lesser flamingo,Phoeniconaias minor,26,Male
63,White-tailed jackrabbit,Lepus townsendii,19,Male
64,"Pheasant, ring-necked",Phasianus colchicus,22,Female
65,Emu,Dromaeus novaehollandiae,28,Female
66,Ferruginous hawk,Buteo regalis,4,Male
67,Tyrant flycatcher,Myiarchus tuberculifer,18,Male
68,"Macaque, rhesus",Macaca mulatta,4,Female
69,White-tailed jackrabbit,Lepus townsendii,8,Female
70,Long-crested hawk eagle,Lophoaetus occipitalis,15,Male
71,"Cat, tiger",Dasyurus maculatus,16,Female
72,"Sunbird, lesser double-collared",Nectarinia chalybea,11,Genderqueer
73,Capybara,Hydrochoerus hydrochaeris,27,Male
74,"Bird, black-throated butcher",Cracticus nigroagularis,15,Non-binary
75,"Anteater, giant",Myrmecophaga tridactyla,18,Male
76,Field flicker,Colaptes campestroides,2,Female
77,"Tortoise, burmese black mountain",Manouria emys,23,Male
78,"Monkey, vervet",Cercopithecus aethiops,8,Female
79,Hudsonian godwit,Limosa haemastica,14,Male
80,Arctic tern,Sterna paradisaea,13,Female
81,"Gecko, barking",Phylurus milli,6,Male
82,Common boubou shrike,Laniarius ferrugineus,3,Female
83,Lapwing (unidentified),Vanellus sp.,23,Female
84,King cormorant,Phalacrocorax albiventer,1,Female
85,Pig-tailed macaque,Macaca nemestrina,1,Female
86,"Legaan, water",Varanus salvator,30,Female
87,Superb starling,Lamprotornis superbus,18,Male
88,Roan antelope,Hippotragus equinus,10,Female
